bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,
16898,True Harvest: Readings From Henry David Thoreau For Every Day Of The Year,Henry David Thoreau/Barry M. Andrews,4.75,1558964908,9.78E+12,eng,304,8,2,10-07-2005,Skinner House Books,
20913,The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,Don Macmillan/Wayne G. Broehl Jr.,4.75,076032963X,9.78E+12,eng,256,4,0,5/15/2007,Voyageur Press,
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,09-12-2005,Scholastic,
6550,Early Color,Saul Leiter/Martin Harrison,4.73,3865211399,9.78E+12,eng,156,144,8,1/15/2006,Steidl,
24816,Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),Bill Watterson,4.72,836217691,9.78E+12,eng,176,15365,290,09-06-1994,Andrews McMeel Publishing,
34545,Elliott Erwitt: Snaps,Murray Sayle/Charles Flowers/Elliott Erwitt,4.72,071484330X,9.78E+12,en-GB,544,102,6,06-01-2003,Phaidon Press,
35561,The Beatles' Story on Capitol Records  Part Two: The Albums,Bruce Spizer,4.72,966264924,9.78E+12,eng,264,29,0,01-01-2010,Four Ninety-Eight Productions,
17276,The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,4.71,738209252,9.78E+12,en-US,0,21,0,05-12-2004,Basic Books,
24820,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,740721356,9.78E+12,eng,96,3613,85,9/17/2001,Andrews McMeel Publishing,
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,802415318,9.78E+12,eng,0,22,4,01-01-2005,Moody Publishers,
20749,Study Bible: NIV,Anonymous,4.7,310929555,9.78E+12,eng,2198,4166,186,10-01-2002,Zondervan Publishing House,
24520,The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,039306011X,9.78E+12,eng,6576,1338,81,10/17/2004,W. W. Norton  Company,
44826,The Price of the Ticket: Collected Nonfiction  1948-1985,James Baldwin,4.7,312643063,9.78E+12,eng,712,404,30,9/15/1985,St. Martin's Press,
24818,The Days Are Just Packed,Bill Watterson,4.69,836217357,9.78E+12,eng,176,20308,244,09-01-1993,Andrews McMeel Publishing,
26805,The Sibley Field Guide to Birds of Western North America,David Allen Sibley,4.69,679451218,9.78E+12,en-US,473,730,36,4/29/2003,Alfred A. Knopf,
31401,A Wife After God's Own Heart Growth and Study Guide,Elizabeth George,4.69,736911685,9.78E+12,eng,160,9,1,01-01-2004,Harvest House Publishers,
32160,Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.69,936184728,9.78E+12,eng,212,26,0,11/15/2003,Boston Common Press,
2680,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C./Xavier de C./Joseph Rowe,4.67,1556434952,9.78E+12,eng,144,3,0,05-04-2004,North Atlantic Books,
5309,The Life and Times of Scrooge McDuck,Don Rosa,4.67,911903968,9.78E+12,eng,266,2467,149,06-01-2005,Gemstone Publishing,
8048,Bill Buzz,Roger Hargreaves/Gray Jolliffe,4.67,679801154,9.78E+12,eng,32,2,0,10/14/1989,Random House for Young Readers,
12789,Falling Angels (Luc Actar #1),Melissa M. Garcia,4.67,595377106,9.78E+12,eng,216,1,0,2/14/2006,iUniverse,
30836,Restless Till We Rest in You: 60 Reflections from the Writings of St. Augustine (Saints Speak Today),Augustine of Hippo,4.67,1569550344,9.78E+12,eng,158,6,1,12/31/1998,Servant Publications,
39201,Getting a Grip on the Basics: Building a Firm Foundation for the Victorious Christian Life,Beth A. Jones,4.67,1577948262,9.78E+12,eng,124,9,0,05-01-2006,Harrison House,
44849,Code Check Electrical: An Illustrated Guide to Wiring a Safe House,Michael      Casey/Redwood Kardon/Douglas Hansen,4.67,1561587389,9.78E+12,eng,29,3,0,11-11-2005,Taunton Press,
23753,The Absolute Sandman  Volume One,Neil Gaiman/Mike Dringenberg/Chris Bachalo/Michael Zulli/Kelly Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Parkhouse/Daniel Vozzo/Lee Loughridge/Steve Oliff/Todd Klein/Dave McKean/Sam Kieth,4.65,1401210821,9.78E+12,eng,612,15640,512,11-01-2006,Vertigo,
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64,393059162,9.78E+12,eng,1878,1411,54,11/30/2004,W. W. Norton & Company,
23589,The J.R.R. Tolkien Companion and Guide,Christina Scull/Wayne G. Hammond,4.64,618391134,9.78E+12,eng,2264,45,0,11-02-2006,Houghton Mifflin Harcourt,
27204,The Gospel According to Luke,Anonymous/Thomas Cahill,4.64,802136184,9.78E+12,eng,81,169,17,10/29/1999,Grove Press,
39661,The Shawshank Redemption: The Shooting Script,Frank Darabont/Stephen King,4.64,1557042462,9.78E+12,eng,184,2406,29,9/30/2004,Newmarket Press,
2688,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,4.63,193108288X,9.78E+12,eng,713,27,3,02-02-2006,Library of America,
13206,The Collected Autobiographies of Maya Angelou,Maya Angelou,4.63,679643257,9.78E+12,eng,1184,991,55,9/21/2004,Modern Library,
17280,The Feynman Lectures on Physics Vol 3,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.63,805390499,9.78E+12,eng,384,716,15,09-01-2005,Addison Wesley Publishing Company,
24813,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,836204387,9.78E+12,eng,208,49122,368,09-05-1995,Andrews McMeel Publishing,
24819,The Calvin And Hobbes:  Tenth Anniversary Book,Bill Watterson,4.63,751515574,9.78E+12,eng,208,303,12,02-01-2008,Time Warner Books UK,
1750,Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,069101597X,9.78E+12,eng,440,12,0,11/16/1997,Princeton University Press,
11323,Herbert the Timid Dragon,Mercer Mayer,4.62,307114635,9.78E+12,eng,48,23,4,07-01-1991,Western Publishing Company  Golden Books,
19333,The World of Peter Rabbit (Original Peter Rabbit  Books 1-23),Beatrix Potter,4.62,723257639,9.78E+12,eng,1072,220,14,05-04-2006,Warne,
23721,Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.62,1591163544,9.78E+12,eng,159,1776,33,08-10-2004,VIZ Media,
35111,The Feynman Lectures on Physics Vol 2,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.62,805390472,9.78E+12,eng,512,17,2,09-01-2005,Pearson Education,
35406,Lego Star Wars: Prima Official Game Guide,Michael Littlefield,4.62,761554912,9.78E+12,eng,128,27,2,09-12-2006,Prima Games,
37525,Organizational Architecture: Designs for Changing Organizations,David A. Nadler/Robert B. Shaw/Marc S. Gerstein,4.62,1555424430,9.78E+12,eng,304,2,0,5/26/1992,Jossey-Bass,
313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,9.78E+12,eng,270,88,4,11/22/1996,Black Classic Press,
17142,Collected Essays: Notes of a Native Son / Nobody Knows My Name / The Fire Next Time / No Name in the Street / The Devil Finds Work / Other Essays,James Baldwin/Toni Morrison,4.61,1883011523,9.78E+12,eng,869,1495,75,02-01-1998,Library of America (NY),
17334,The Complete C.S. Lewis Signature Classics,C.S. Lewis,4.61,61208493,9.78E+12,eng,746,925,40,02-06-2007,HarperOne,
19445,A Guide to the Words of My Perfect Teacher,Ngawang Pelzang/Padmakara Translation Group/Patrul Rinpoche/Alak Zenkar,4.61,1590300734,9.78E+12,eng,336,79,0,6/22/2004,Shambhala,
23318,Discovery of the Presence of God: Devotional Nonduality,David R. Hawkins,4.61,971500762,9.78E+12,en-US,296,186,11,6/28/2007,Veritas Publishing,
23722,Nausicaä of the Valley of the Wind  Vol. 5 (Nausicaä of the Valley of the Wind  #5),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591164125,9.78E+12,eng,151,1904,28,6/30/2004,VIZ Media,
23724,Nausicaä of the Valley of the Wind  Vol. 7 (Nausicaä of the Valley of the Wind  #7),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.61,1591163552,9.78E+12,eng,223,1716,79,09-07-2004,VIZ Media,
25741,Collected Stories III: One Night in Brazil to The Death of Methuselah,Isaac Bashevis Singer/Ilan Stavans,4.61,1931082634,9.78E+12,eng,915,23,4,07-08-2004,Library of America,
5545,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,201500647,9.78E+12,en-US,3,78,7,01-01-1989,Addison Wesley Publishing Company,
9325,Fullmetal Alchemist  Vol. 10,Hiromu Arakawa/Akira Watanabe,4.6,1421504618,9.78E+12,eng,200,8989,151,11/21/2006,VIZ Media LLC,
26426,Fullmetal Alchemist  Vol. 12 (Fullmetal Alchemist  #12),Hiromu Arakawa/Akira Watanabe,4.6,1421508397,9.78E+12,eng,192,7480,119,3/20/2007,VIZ Media LLC,
31994,鋼之鍊金術師 10,Hiromu Arakawa/荒川弘/方郁仁,4.6,9861156534,9.79E+12,zho,188,3,0,3/23/2005,東立,
37976,The Listener's Bible: NIV,Anonymous/Max McLean,4.6,1931047170,9.78E+12,eng,77,28,3,01-01-2001,Fellowship for the Performance,
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9.78E+12,eng,192,26153,102,06-12-2002,Houghton Mifflin Harcourt,
3529,The World's First Love: Mary  Mother of God,Fulton J. Sheen,4.59,898705975,8987059752,en-US,276,641,63,09-01-1996,Ignatius Press,
7271,Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,Elliott A. Norse/Larry B. Crowder/Michael E. Soulé,4.59,1559636629,9.78E+12,eng,496,16,2,05-09-2005,Island Press,
15249,The Lord of the Rings: The Return of the King - Visual Companion,Jude Fisher,4.59,7116268,9.78E+12,eng,72,26,3,11-06-2003,HarperCollins,
15336,The Lord of the Rings / The Hobbit,J.R.R. Tolkien,4.59,7144083,9.78E+12,eng,1600,141,5,10-07-2002,Collins Modern Classics,
17279,The Feynman Lectures on Physics Vols 5-6,Richard P. Feynman,4.59,738202835,9.78E+12,en-US,12,22,0,11-03-2004,Basic Books,
23506,Fullmetal Alchemist  Vol. 11 (Fullmetal Alchemist  #11),Hiromu Arakawa/Akira Watanabe,4.59,1421508389,9.78E+12,eng,192,7655,129,1/16/2007,VIZ Media LLC,
23720,Nausicaä of the Valley of the Wind  Vol. 4 (Nausicaä of the Valley of the Wind  #4),Hayao Miyazaki/David Lewis/Toren Smith/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.59,1591163528,9.78E+12,eng,134,1956,38,06-02-2004,VIZ Media,
23734,Nausicaä De La Vallée Du Vent  Tome 4,Hayao Miyazaki,4.59,2723433927,9.78E+12,fre,144,29,2,06-12-2001,Glénat,
26422,Fullmetal Alchemist  Vol. 14 (Fullmetal Alchemist  #14),Hiromu Arakawa/Akira Watanabe,4.59,142151379X,9.78E+12,eng,192,8634,118,8/14/2007,VIZ Media LLC,
6152,Come Away My Beloved,Frances J. Roberts,4.58,1593109156,9.78E+12,eng,192,8,0,10-01-2005,Barbour Books,
6342,The Music of the Republic: Essays on Socrates' Conversations and Plato's Writings,Eva Brann,4.58,1589880080,9.78E+12,eng,378,20,2,03-01-2004,Paul Dry Books,
7286,The Sawtooth Wolves,Jim Dutcher/Eric Baker/Greg Simpson/Richard Ballantine,4.58,964991500,9.78E+12,eng,191,38,2,01-01-1996,Rufus Publications,
16602,Coffin: The Art of Vampire Hunter D,Yoshitaka Amano,4.58,1595820612,9.78E+12,eng,199,596,16,11-01-2006,Dark Horse Books,
17961,Collected Fictions,Jorge Luis Borges/Andrew Hurley,4.58,140286802,9.78E+12,eng,565,18874,791,9/30/1999,Penguin Classics Deluxe Edition,
31993,鋼之鍊金術師 6,Hiromu Arakawa/荒川弘/方郁仁,4.58,9861146148,9.79E+12,zho,191,5,0,06-02-2004,東立,
33342,The More Than Complete Hitchhiker's Guide (Hitchhiker's Guide  #1-4 + short story),Douglas Adams,4.58,681403225,9.78E+12,en-US,624,433,34,11-01-1989,Longmeadow Press,
34229,Complete Guide to the Bible,Reader's Digest Association,4.58,762100737,9.78E+12,eng,448,12,3,8/24/1998,Readers Digest,
41468,Dewdrops on a Lotus Leaf: Zen Poems of Ryokan,Ryōkan/John   Stevens,4.58,1590301080,9.78E+12,eng,120,183,19,4/13/2004,Shambhala,
44734,Fullmetal Alchemist  Vol. 6 (Fullmetal Alchemist  #6),Hiromu Arakawa/Akira Watanabe,4.58,1421503190,9.78E+12,eng,200,10052,201,3/21/2006,VIZ Media LLC,
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,142150460X,9.78E+12,eng,192,9013,153,9/19/2006,VIZ Media LLC,
869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,4.57,1421504596,9.78E+12,eng,192,11451,161,7/18/2006,VIZ Media LLC,
2005,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,747584664,9.78E+12,eng,768,1213,78,6/23/2006,Bloomsbury Publishing,
3232,Minor Works: On Colours/On Things Heard/Physiognomics/On Plants/On Marvellous Things Heard/Mechanical Problems/On Indivisible Lines/The...Gorgias,Aristotle/W.S. Hett,4.57,674993381,9.78E+12,grc,528,14,0,6/28/1963,Loeb Classical Library 307,
5991,混血王子的背叛 (哈利波特  #6),J.K. Rowling/J.K.羅琳/皇冠編譯組/張定綺/彭倩文/趙丕慧/林靜華,4.57,9573321742,9.79E+12,zho,735,75,0,10-01-2005,皇冠文化出版有限公司,
15872,Harry Potter y el misterio del príncipe (Harry Potter  #6),J.K. Rowling/Gemma Rovira Ortega,4.57,8478889930,9.79E+12,spa,602,5104,386,2/28/2006,Salamandra,
18800,In Search of Lost Time  Vol. 2: Within a Budding Grove  Part 2 & The Guermantes' Way,Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin,4.57,1841598976,9.78E+12,eng,888,48,1,6/29/2001,Everyman's Library,
26425,Fullmetal Alchemist: The Abducted Alchemist (Fullmetal Alchemist  #2),Makoto Inoue/Hiromu Arakawa/Alexander O. Smith/Rich Amtower,4.57,1421502224,9.78E+12,eng,240,2779,19,01-10-2006,VIZ Media LLC,
31996,鋼之鍊金術師 9,Hiromu Arakawa/荒川弘/方郁仁,4.57,9861156526,9.79E+12,zho,184,4,0,12/16/2004,東立,
31999,鋼之鍊金術師 7,Hiromu Arakawa/荒川弘/方郁仁,4.57,9861146156,9.79E+12,zho,191,5,0,06-12-2004,東立,
32155,Cook's Illustrated 2005 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.57,936184922,9.78E+12,eng,206,37,1,11/15/2005,America's Test Kitchen,
37055,鋼の錬金術師 8 (Fullmetal Alchemist 8),Hiromu Arakawa,4.57,4757512309,9.78E+12,jpn,192,22,1,7/22/2004,ガンガンコミックス,
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,05-01-2004,Scholastic Inc.,
868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,4.56,1591169259,9.78E+12,eng,192,16666,299,9/13/2005,VIZ Media LLC,
4256,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,074757362X,9.78E+12,eng,480,3141,140,07-01-2008,Bloomsbury UK,
6003,火盃的考驗 (哈利波特  #4),J.K. Rowling/J.K.羅琳/彭倩文,4.56,9573318318,9.79E+12,zho,768,91,2,12-08-2001,皇冠文化出版有限公司,
9326,Fullmetal Alchemist  Vol. 5 (Fullmetal Alchemist  #5),Hiromu Arakawa/Akira Watanabe,4.56,1421501759,9.78E+12,eng,200,12885,208,01-10-2006,VIZ Media LLC,
13382,Vinyl Cafe Odd Jobs,Stuart McLean,4.56,096830317X,9.78E+12,eng,3,61,1,6/15/2005,Canadian Broadcasting Corporation (CBC Audio),
18807,Dostoevsky: The Mantle of the Prophet  1871-1881,Joseph Frank,4.56,691115699,9.78E+12,eng,800,101,12,09-02-2003,Princeton University Press,
23740,Nausicaä de la vallée du vent  tome 3,Hayao Miyazaki,4.56,2723433919,9.78E+12,fre,144,32,3,2/20/2001,Glénat,
31997,鋼之鍊金術師 5,Hiromu Arakawa/荒川弘/方郁仁,4.56,986114613X,9.79E+12,zho,189,6,0,06-02-2004,東立,
35652,The Beatles Diary  Vol 1: From Liverpool to London (Falk Symposium),Keith Badman/Keith Badman,4.56,711983089,9.78E+12,eng,376,13,0,02-01-2001,Omnibus Press,
37053,鋼の錬金術師 5 (Fullmetal Alchemist  #5),Hiromu Arakawa,4.56,4757509669,9.78E+12,jpn,188,20,1,6/21/2003,ガンガンコミックス,
37054,鋼の錬金術師 3 (Fullmetal Alchemist  #3),Hiromu Arakawa,4.56,4757507917,9.78E+12,jpn,182,22,2,9/21/2002,ガンガンコミックス,
39906,Cocolat: Extraordinary Chocolate Desserts,Alice Medrich/Patricia Brabant,4.56,446514195,9.78E+12,eng,192,80,10,10-01-1990,Grand Central Publishing,
41908,Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling/Rufus Beck,4.56,3895849618,9.78E+12,ger,13,313,8,8/31/2002,Dhv der Hörverlag,
41911,Harry Potter und der Gefangene von Askaban (Harry Potter  #3),J.K. Rowling,4.56,355155210X,9.78E+12,ger,448,30,2,04-01-2001,Carlsen,
43509,Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.56,074754624X,9.78E+12,eng,636,18754,906,07-08-2000,Bloomsbury,
871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,4.55,1591169291,9.78E+12,eng,200,10752,294,11-08-2005,VIZ Media LLC,
2151,The Complete Novels,Jane Austen/Hugh  Thomson,4.55,517147688,9.78E+12,eng,1103,300,31,09-03-1995,Gramercy Books,
2153,Jane Austen: The Complete Novels,Jane Austen,4.55,517118297,9.78E+12,eng,1103,267,24,06-01-1994,Gramercy Books,
13677,Tal-Botvinnik 1960,Mikhail Tal/Hanon W. Russell,4.55,1888690089,9.78E+12,eng,220,161,12,07-03-2001,Russell Enterprises,
14905,The Complete Novels,Jane Austen,4.55,140259449,9.78E+12,eng,1344,21633,351,6/17/1996,Penguin,
15195,The Complete Maus,Art Spiegelman,4.55,141014083,9.78E+12,eng,296,111475,5966,10-02-2003,Penguin Books,
31672,The Complete Novels,Jane Austen/Karen Joy Fowler,4.55,143039504,9.78E+12,eng,1278,425,39,3/28/2006,Penguin Classics,
31692,The Complete Novels of Jane Austen,Jane Austen,4.55,1840220554,9.78E+12,eng,1431,924,28,01-05-2005,Wordsworth Editions,
31995,鋼之鍊金術師 4,Hiromu Arakawa/荒川弘/方郁仁,4.55,9861146121,9.79E+12,zho,189,5,0,06-02-2004,東立,
34343,Eva Hesse Drawing,Catherine de Zegher/Elisabeth Sussman,4.55,300116187,9.78E+12,eng,344,51,6,12/28/2006,Yale University Press,
37052,鋼の錬金術師 4 (Fullmetal Alchemist  #4),Hiromu Arakawa,4.55,4757508557,9.78E+12,jpn,184,20,2,1/20/2003,ガンガンコミックス,
44030,Looking East,Steve McCurry,4.55,714846376,9.78E+12,eng,124,83,8,09-01-2006,Phaidon Press,
5417,Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,517219026,9.78E+12,eng,1096,13137,61,07-02-2002,Wings,
22489,"African Origins of the Major ""Western Religions""",Yosef A.A. Ben-Jochannan,4.54,933121296,9.78E+12,eng,363,129,6,12-01-1991,Black Classic Press,
25101,Season of Mists (The Sandman  #4),Neil Gaiman/Matt Wagner/George Pratt/Dick Giordano/Kelley Jones/P. Craig Russell/Mike Dringenberg/Malcolm Jones III/Todd Klein/Harlan Ellison,4.54,1563890356,9.78E+12,eng,217,50951,1038,03-10-1999,Vertigo,
28087,Gabriel García Márquez: One Hundred Years of Solitude,Michael  Wood,4.54,521316928,9.78E+12,eng,132,3604,78,5/31/1990,Cambridge University Press,
30230,Anita Blake  Vampire Hunter Collection 1-4 (Anita Blake  Vampire Hunter  #1-4),Laurell K. Hamilton,4.54,515136174,9.78E+12,eng,1256,3320,36,2/25/2003,Jove,
32338,Fire in the Minds of Men: Origins of the Revolutionary Faith,James H. Billington,4.54,765804719,9.78E+12,eng,677,96,9,01-01-1980,Basic Books,
40490,The Valley of Vision: A Collection of Puritan Prayers and Devotions,Arthur Bennett,4.54,851512283,9.78E+12,eng,223,9476,247,11-01-1975,Banner of Truth,
42439,Harm's Way: Lust & Madness & Murder & Mayhem,Joel-Peter Witkin/Stanley B. Burns,4.54,944092284,9.78E+12,eng,132,58,3,10-01-1994,Twin Palms Publishers,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78E+12,eng,218,19822,46,11-05-2003,Houghton Mifflin Harcourt,
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,9.78E+12,eng,32,5239,76,02-02-1998,HMH Books for Young Readers,
